id,date,district,locality,category,department,transcript,sentiment,sentiment_score,priority
214,2025-10-07,Kannur,Civil Station Road,Electricity,Electricity Board,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Good morning, I would like to report a problem. In Kannur district, near Civil Station Road, we are having frequent power cuts of 8 hours every day without prior notice. This is causing a lot of difficulty for residents, please prioritise it.
Support Executive: Noted. I will escalate this to the concerned department.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Thank you, have a good day. We will update you on the progress.",Negative,-0.64,High
215,2025-12-14,Kottayam,Market Road,Internet Services,IT & Telecom Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hi, I need to register a complaint. In Kottayam district, near Market Road, the public WiFi hotspot at Market Road has not worked in 5 days. Please get this resolved as soon as possible.
Support Executive: Noted. I will escalate this to the concerned department.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Thank you for calling, this has been forwarded to the relevant department.",Negative,-0.51,High
216,2026-06-02,Thrissur,Beach Road,Public Safety,Police Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Good afternoon, I want to bring an urgent issue to your notice. In Thrissur district, near Beach Road, there have been repeated chain snatching incidents reported near Beach Road. Please get this resolved as soon as possible.
Support Executive: I'm sorry to hear that, let me log this right away.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Your complaint has been registered with reference number generated. We will follow up shortly.",Negative,-0.73,High
217,2025-08-09,Idukki,Ward 12,Government Documentation,Revenue Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hi, I need to register a complaint. In Idukki district, near Ward 12, my income certificate application submitted at the Ward 12 office has been pending for 3 days. Please get this resolved as soon as possible.
Support Executive: Noted. I will escalate this to the concerned department.
Citizen: Yes, please make sure this is followed up on.
Support Executive: We have logged your request and someone will get back to you soon.",Negative,-0.65,High
218,2026-01-21,Kozhikode,New Bypass,Internet Services,IT & Telecom Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hi, I need to register a complaint. In Kozhikode district, near New Bypass, internet speed in New Bypass has been extremely poor for 2 days despite multiple complaints. We have been waiting too long, kindly expedite this.
Support Executive: I see, this sounds serious. Let me record this immediately.
Citizen: Yes, please make sure this is followed up on.
Support Executive: We have logged your request and someone will get back to you soon.",Negative,-0.58,High
219,2026-01-14,Kozhikode,MG Road,Education,Education Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hi, I need to register a complaint. In Kozhikode district, near MG Road, can you tell me the schedule for the upcoming parent teacher meeting. Okay, thank you for clarifying.
Support Executive: Thank you for bringing this to our attention, I am registering this complaint.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Thank you, have a good day. We will update you on the progress.",Neutral,0.31,Low
220,2025-01-09,Idukki,Market Road,Internet Services,IT & Telecom Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hello, I have been trying to reach someone about this for a while. In Idukki district, near Market Road, we are facing intermittent internet outages in Market Road every evening. Kindly forward this to the concerned department.
Support Executive: I understand your concern, let me note down the details.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Thank you, have a good day. We will update you on the progress.",Neutral,-0.16,Medium
221,2026-02-12,Kozhikode,Hospital Road,Water Supply,Water Authority,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hello, I am calling regarding an issue in my area. In Kozhikode district, near Hospital Road, the water pressure in Hospital Road has dropped so badly that upper floors get nothing. Please get this resolved as soon as possible.
Support Executive: I see, this sounds serious. Let me record this immediately.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Thank you for calling, this has been forwarded to the relevant department.",Negative,-0.45,High
222,2025-08-29,Thiruvananthapuram,Ward 7,Public Safety,Police Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Good morning, I would like to report a problem. In Thiruvananthapuram district, near Ward 7, we would like additional police patrolling near Ward 7 during late evenings. It would help if this could be addressed soon.
Support Executive: I see, this sounds serious. Let me record this immediately.
Citizen: Yes, please make sure this is followed up on.
Support Executive: We have logged your request and someone will get back to you soon.",Neutral,-0.14,Medium
223,2025-09-29,Palakkad,Temple Junction,Electricity,Electricity Board,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hi, I'm calling on behalf of my neighbourhood. In Palakkad district, near Temple Junction, our electricity bill this month seems unusually high and I want it checked. It would help if this could be addressed soon.
Support Executive: Thank you for bringing this to our attention, I am registering this complaint.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Thank you for calling, this has been forwarded to the relevant department.",Neutral,-0.27,Medium
224,2026-02-16,Thrissur,Ward 12,Transport,Transport Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hi, I need to register a complaint. In Thrissur district, near Ward 12, the bus frequency on the Ward 12 route has reduced and commuters are facing delays. Please look into this when possible.
Support Executive: I'm sorry to hear that, let me log this right away.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Your complaint has been registered with reference number generated. We will follow up shortly.",Neutral,-0.09,Medium
